goods_name,shop_name,price,purchase_num,location
壮哥佬广西桂林米粉干粉正宗速食米线袋装柳州螺蛳粉鲜米粉卤水,壮哥佬旗舰店,25.80,['1.0万+人付款'],广西 桂林
阿宽地域美食大礼包红油面皮酸辣粉螺蛳粉花甲粉甜水面火鸡面组合,阿宽旗舰店,81.90,['1357人付款'],四川 成都
螺状元柳州网红螺蛳粉280g*3包 广西螺丝粉酸辣方便面汤面速食品,极之鲜食品专营店,38.50,['1031人付款'],广东 深圳
卷味螺蛳粉柳州广西特产网红速食酸辣方便面水煮螺丝粉300gx5盒装,卷味食品旗舰店,85.00,['552人付款'],广西 柳州
白家陈记大BOSS酸辣粉方便速食冲泡螺蛳粉重庆网红牛肉红薯米粉丝,白家陈记旗舰店,39.90,['3238人付款'],四川 成都
柳螺宗蛳螺蛳粉正宗柳州特产美食330g*10袋螺狮粉整箱礼盒装螺丝,柳螺宗蛳旗舰店,119.00,['995人付款'],广西 柳州
好欢螺螺蛳粉300g*10袋礼盒整箱装螺丝粉方便速食酸辣米粉螺狮粉,好欢螺搜搜袋鼠专卖店,116.10,['208人付款'],广西 柳州
亦螺亦味螺蛳粉柳州正宗300克5袋装广西特产螺狮粉正常发货螺丝粉,亦螺亦味旗舰店,49.90,['3438人付款'],广西 柳州
【加臭加辣礼盒款】好欢螺螺蛳粉400g6袋螺狮粉酸辣粉速食方便面,好欢螺旗舰店,89.40,['5500+人付款'],广西 柳州
好欢螺小龙虾味螺蛳粉柳州麻辣螺狮粉320gx3袋装方便面速食酸辣粉,好欢螺旗舰店,44.70,['2.5万+人付款'],广西 柳州
好欢螺螺蛳粉400g*10袋礼盒装整箱 包邮广西柳州螺狮粉正宗螺丝粉,丝皇食品专营店,149.00,['1113人付款'],广西 柳州
好欢螺螺蛳粉柳州正宗特产螺丝粉300g克*5袋 包邮广西方便螺狮粉,丝皇食品专营店,64.50,['2039人付款'],广西 柳州
三只松鼠螺蛳粉300g*3袋装速食方便面泡面小火锅面条米线,天猫超市,39.90,['667人付款'],上海
食族人螺蛳粉网红螺蛳粉冲泡酸辣粉泡面广西柳州粉丝米线202g,天猫超市,12.90,['4955人付款'],上海
三只松鼠螺蛳粉300g袋装速食即食方便面泡面小火锅面条食品米线,天猫超市,19.90,['3109人付款'],上海
稻花香螺蛳粉免煮冲泡米线酸辣粉丝米粉方便面泡面夜宵6桶装,天猫超市,59.90,['842人付款'],上海
冠莲 江西米粉米线干米线1250g螺蛳粉牛肉粉酸辣粉粉干麻辣烫粉干,天猫超市,15.90,['7500+人付款'],上海
柳江人家广西柳州麻辣螺蛳粉330g*10袋螺狮粉方便速食螺丝粉,柳江人家旗舰店,128.00,['323人付款'],广西 柳州
柳江人家柳州麻辣螺蛳粉330g*3包广西螺狮粉方便面速食包邮螺丝粉,柳江人家旗舰店,34.80,['9500+人付款'],广西 柳州
河南特产逍遥胡辣汤粉老杨家麻辣牛肉味速食,逍遥老杨家旗舰店,28.90,['5500+人付款'],河南 周口
彩螺螺蛳粉广西柳州特产正宗味道 280g,彩螺食品旗舰店,54.90,['3873人付款'],广西 柳州
螺蛳粉柳州正宗螺丝粉广西特产螺狮粉,百寿元旗舰店,59.90,['829人付款'],广西 桂林
螺霸王水煮螺蛳粉麻辣味315G*3袋广西柳州特产螺狮粉方便面米线,螺霸王食品旗舰店,39.90,['6500+人付款'],广西 柳州
螺霸王水煮螺蛳粉280G*5原味柳州螺狮粉螺丝酸辣粉方便面速食,螺霸王食品旗舰店,59.90,['1160人付款'],广西 柳州
